symbol,ex_date,action_type,cash_per_10,bonus_per_10,transfer_per_10,share_ratio,verified,evidence_url,evidence_note
002594.SZ,2025-07-29,bonus_and_transfer,39.74,8,12,3.0,1,https://disc.static.szse.cn/download/disc/disk03/finalpage/2025-07-22/f30e6169-4779-487e-acff-8c1eff230fa4.PDF,深交所披露易 2025-047：每10股派39.74元送8股转增12股；股权登记日2025-07-28；除权除息日2025-07-29；总股本30.39亿→91.17亿
300750.SZ,2023-04-26,transfer,25.20,0,8,1.8,1,https://disc.static.szse.cn/disc/disk03/finalpage/2023-04-18/8535c4d0-c7c2-4fdb-9b73-cfadf31928c6.PDF,深交所披露易 2023-037：每10股派25.20元转增8股不送股；股权登记日2023-04-25；除权除息日2023-04-26；总股本24.42亿→43.96亿
000661.SZ,2020-06-09,bonus_and_transfer,0,10,0,2.0,1,,长春高新2020年中期：每10股送10股；除权日2020-06-09；未复权价约腰斩、后复权因子约翻倍
002709.SZ,2022-05-16,transfer,5.0,0,10,2.0,1,,Tushare dividend 实施：每10股转增10股派5.00元；除权日2022-05-16
300450.SZ,2018-05-24,transfer,2.292785,0,9.968631,1.9968631,1,,Tushare dividend 实施：约每10股转增9.97股派2.29元；除权日2018-05-24
300628.SZ,2018-05-28,transfer,16.0,0,10,2.0,1,,Tushare dividend 实施：每10股转增10股派16.00元；除权日2018-05-28
300628.SZ,2019-07-09,transfer,12.0,0,10,2.0,1,,Tushare dividend 实施：每10股转增10股派12.00元；除权日2019-07-09
